Uniprot ID	Molecular Weight	Mean Lean
P02144;	17184	7.08E+02
P06732;	43101	5.94E+02
P12883;	223097	4.70E+02
P11217;	97092	4.67E+02
Q9UKX2;	223044	4.44E+02
P02768;	69367	3.07E+02
Q96A32;	19086	2.98E+02
P05976;	21145	2.93E+02
P04075;	39420	2.68E+02
P10916;	18789	2.40E+02
P07451;	29557	2.00E+02
P12882;	223115	1.93E+02
P13929;	46987	1.91E+02
P06576;	56560	1.59E+02
P08590;	21932	1.49E+02
P25705;	59751	1.35E+02
P02511;	20159	1.03E+02
-	33579	1.02E+02
P16615;	109691	8.03E+01
Q14324;	128143	7.99E+01
P00338;	36689	7.86E+01
P48735;	50909	7.71E+01
P00558;	44615	7.50E+01
P40939;	83000	6.89E+01
O75112;	66671	6.86E+01
P40926;	35531	6.69E+01
-	164640	6.44E+01
P35609;	103854	6.35E+01
P21796;	30773	6.23E+01
P04792;	22783	5.89E+01
P06744;	63147	5.80E+01
P68133;	42051	5.45E+01
P12235;	33064	5.34E+01
P00915;	28870	5.26E+01
P05413;	14858	5.24E+01
P17540;	47504	5.16E+01
O75964;	11428	4.85E+01
P14618;	58062	4.41E+01
P17174;	46248	4.33E+01
P07951;	32851	4.21E+01
P02585;	18122	4.18E+01
-	288964	4.16E+01
P40925;	36426	4.09E+01
P30041;	25035	3.90E+01
P55786;	103276	3.80E+01
P00505;	47476	3.76E+01
P30086;	21057	3.76E+01
P99999;	11749	3.54E+01
P11142;	70898	3.40E+01
O75746;	74756	3.31E+01
P63316;	18403	3.19E+01
P55084;	51396	3.10E+01
P13073;	19577	3.06E+01
Q02218;	115935	3.04E+01
P06733;	47169	2.89E+01
Q53GG5;	39232	2.78E+01
P28331;	79468	2.76E+01
P24752;	45200	2.74E+01
O14558;	18783	2.61E+01
P22695;	48443	2.45E+01
-	34095	2.45E+01
P15259;	28766	2.41E+01
Q6ZMU5;	52731	2.33E+01
P04179;	24722	2.31E+01
P22314;	117849	2.30E+01
P02647;	30778	2.20E+01
P33121;	77943	2.16E+01
P48047;	23277	2.11E+01
P09669;	8781	2.08E+01
O00757;	36743	2.05E+01
P00918;	29246	2.03E+01
P13639;	95338	2.03E+01
P00403;	25565	1.99E+01
P15121;	35853	1.98E+01
P14649;	22764	1.96E+01
P01009;	46737	1.80E+01
P06753;	32950	1.78E+01
P31930;	52646	1.73E+01
P62805;	11367	1.73E+01
O00483;	9370	1.69E+01
Q02978;	34062	1.68E+01
P26678;	6109	1.66E+01
P08758;	35937	1.63E+01
